Entity Category,Falcon3-7B-Instruct (F1),Mistral-7B-Instruct-v0.3 (F1),Llama-3.1-8B-Instruct (F1),Total Count (Support)
AGE,0.0000,0.0000,0.0000,1
CONTACT,0.0000,0.0000,0.0000,1
CURRENCY,0.0000,0.0000,0.0000,0
DATE,0.0000,0.0000,0.0000,0
DATE_TIME,0.2500,0.0000,0.1905,17
FAC,0.0000,0.0000,0.0000,2
GROUP,0.0000,0.0000,0.0000,5
LINK,0.0000,0.0000,0.0000,0
LOC,0.0000,0.0000,0.0000,22
LOCATION,0.0000,0.0000,0.0000,0
MISC,0.1099,0.1316,0.0370,40
MONEY,0.0000,0.0000,0.0000,5
NUMBER,0.0000,0.0000,0.0000,8
ORG,0.0000,0.0000,0.0000,0
ORGANIZATION,0.2400,0.0000,0.3902,16
PER,0.0000,0.0000,0.0000,2
PERCENT,0.0000,0.0000,0.0000,5
PERSON,0.0000,0.0000,0.0000,0
PRODUCT,0.0952,0.1333,0.1667,19
QUANTITY,0.0000,0.0000,0.0000,3
TIME,0.0000,0.0000,0.0000,22
TITLE,0.0000,0.0000,0.0000,6
URL,0.0000,0.0000,0.5000,2
WORK_OF_ART,0.0000,0.0000,0.0000,1
