Entity Category,Falcon3-7B-Instruct (F1),Mistral-7B-Instruct-v0.3 (F1),Llama-3.1-8B-Instruct (F1),Total Count (Support)
AGE,0.0000,0.0000,0.0000,1
AMOUNT,0.0000,0.0000,0.0000,0
CONTACT,0.0000,0.0000,0.0000,1
CONTRACT,0.0000,0.0000,0.0000,0
CURRENCY,0.0000,0.0000,0.0000,0
DATE,0.0000,0.0000,0.0000,0
DATE_TIME,0.5556,0.2727,0.3333,17
EMAIL,0.0000,0.0000,0.0000,0
EVENT,0.0000,0.0000,0.0000,0
FAC,0.0000,0.0000,0.0000,2
FAMILY_RELATIONSHIP,0.0000,0.0000,0.0000,0
GPE,0.0000,0.0000,0.0000,0
GROUP,0.0000,0.0000,0.0000,5
ID_NUM,0.0000,0.0000,0.0000,0
LAW,0.0000,0.0000,0.0000,0
LOC,0.0000,0.0000,0.0000,22
LOCATION,0.0000,0.0000,0.0000,0
MISC,0.0000,0.0000,0.0000,40
MONEY,0.0000,0.0000,0.0000,5
NUMBER,0.0000,0.0000,0.0000,8
ORG,0.0000,0.0000,0.0000,0
ORGANIZATION,0.2667,0.3636,0.3158,16
ORG_UNIT,0.0000,0.0000,0.0000,0
OTHER,0.0000,0.0000,0.0000,0
PER,0.0000,0.0000,0.0000,2
PERCENT,0.0000,0.0000,0.0000,5
PERSON,0.0000,0.0000,0.0000,0
PHONE,0.0000,0.0000,0.0000,0
PRODUCT,0.1212,0.0000,0.1333,19
QUANTITY,0.0000,0.0000,0.0000,3
TIME,0.0000,0.0000,0.0000,22
TITLE,0.0000,0.0000,0.2000,6
URL,0.0909,0.6667,0.5000,2
WORK_OF_ART,0.0000,0.0000,0.0000,1
WORK_TITLE,0.0000,0.0000,0.0000,0
