Entity Category,Falcon3-7B-Instruct (F1),Mistral-7B-Instruct-v0.3 (F1),Llama-3.1-8B-Instruct (F1),Total Count (Support)
AGE,0.0000,0.0000,0.0000,1
CONTACT,0.0000,0.0000,0.0000,1
CONTRACT,0.0000,0.0000,0.0000,0
CURRENCY,0.0000,0.0000,0.0000,0
DATE,0.0000,0.0000,0.0000,0
DATE_TIME,0.0000,0.0000,0.0000,17
EMAIL,0.0000,0.0000,0.0000,0
FAC,0.0000,0.0000,0.0000,2
GENDER,0.0000,0.0000,0.0000,0
GROUP,0.0000,0.0000,0.0000,5
IDENTITY,0.0000,0.0000,0.0000,0
ID_NUM,0.0000,0.0000,0.0000,0
LOC,0.0000,0.0000,0.0000,22
LOCATION,0.0000,0.0000,0.0000,0
MISC,0.0000,0.0000,0.0000,40
MONEY,0.0000,0.0000,0.0000,5
NUMBER,0.0000,0.0000,0.0000,8
ORGANIZATION,0.0000,0.0000,0.2609,16
ORIENTATION,0.0000,0.0000,0.0000,0
OTHER,0.0000,0.0000,0.0000,0
PER,0.0000,0.0000,0.0000,2
PERCENT,0.0000,0.0000,0.0000,5
PERSON,0.0000,0.0000,0.0000,0
PHONE,0.0000,0.0000,0.0000,0
PRODUCT,0.1154,0.0769,0.1500,19
QUANTITY,0.0000,0.0000,0.0000,3
SENSITIVE_ENTITIES,0.0000,0.0000,0.0000,0
TIME,0.0000,0.0000,0.0000,22
TITLE,0.0000,0.0000,0.0000,6
URL,1.0000,0.0000,0.8000,2
WORK_OF_ART,0.0000,0.0000,0.0000,1
YEAR,0.0000,0.0000,0.0000,0
