Entity Category,Falcon3-7B-Instruct (F1),Mistral-7B-Instruct-v0.3 (F1),Llama-3.1-8B-Instruct (F1),Total Count (Support)
AGE,0.3273,0.0000,0.0000,24
AGE_AT_TEXT_END,0.0000,0.0000,0.0000,0
AMOUNT,0.0000,0.0000,0.0000,0
COUNTRY,0.0000,0.0000,0.0000,0
CURRENCY,0.0000,0.0000,0.0000,0
DATE,0.0000,0.0000,0.0000,0
DATE_TIME,0.2000,0.0714,0.0870,48
GENDER,0.0000,0.0000,0.0000,0
GROUP,0.0000,0.0000,0.0000,5
HEIGHT,0.0000,0.0000,0.0000,1
ID,0.0000,0.0000,0.0000,1
LOCATION,0.3704,0.5106,0.5238,21
MISC,0.0000,0.0000,0.0000,17
MONEY,0.0000,0.3000,0.0000,16
NRP,0.0000,0.0000,0.0000,1
NUMBER,0.2500,0.0000,0.2857,13
ORGANIZATION,0.2500,0.2778,0.2381,31
PERSON,0.3077,0.2000,0.1333,5
PRODUCT,0.2400,0.1143,0.0000,9
RELATIONSHIP,0.0000,0.0000,0.0000,0
RELATIONSHIP_STATUS,0.0000,0.0000,0.0000,0
RELATION_LENGTH,0.0000,0.0000,0.0000,0
TIME,0.0000,0.0000,0.0000,3
TITLE,0.1333,0.0000,0.0000,3
URL,0.6154,0.9231,0.4000,7
WEIGHT,1.0000,1.0000,1.0000,2
WORK_OF_ART,0.0000,0.0000,0.0000,2
