Entity Category,Falcon3-7B-Instruct (F1),Mistral-7B-Instruct-v0.3 (F1),Llama-3.1-8B-Instruct (F1),Total Count (Support)
AGE,0.0000,0.0000,0.0000,24
AMOUNT,0.0000,0.0000,0.0000,0
CARDINAL,0.0000,0.0000,0.0000,0
CREDIT_CARD,0.0000,0.0000,0.0000,0
CURRENCY,0.0000,0.0000,0.0000,0
DATE,0.0000,0.0000,0.0000,0
DATE_TIME,0.0000,0.0000,0.0000,48
EMAIL,0.0000,0.0000,0.0000,0
EVENT,0.0000,0.0000,0.0000,0
GROUP,0.0000,0.0000,0.0000,5
HEIGHT,0.0000,0.0000,0.0000,1
ID,0.0000,0.0000,0.0000,1
ID_NUM,0.0000,0.0000,0.0000,0
IP,0.0000,0.0000,0.0000,0
LOCATION,0.5455,0.5200,0.3673,21
MAC,0.0000,0.0000,0.0000,0
MISC,0.0000,0.0000,0.0000,17
MONEY,0.0000,0.3000,0.0000,16
NRP,0.0000,0.0000,0.0000,1
NUMBER,0.0000,0.0000,0.0000,13
ORDINAL,0.0000,0.0000,0.0000,0
ORG,0.0000,0.0000,0.0000,0
ORGANIZATION,0.0625,0.0000,0.3636,31
OTHER,0.0000,0.0000,0.0000,0
PASSWORD,0.0000,0.0000,0.0000,0
PERCENT,0.0000,0.0000,0.0000,0
PERSON,0.0702,0.0645,0.0533,5
PHONE,0.0000,0.0000,0.0000,0
PRODUCT,0.1569,0.0625,0.1026,9
QUANTITY,0.0000,0.0000,0.0000,0
SENSITIVE_ENTITIES,0.0000,0.0000,0.0000,0
SSN,0.0000,0.0000,0.0000,0
TIME,0.0000,0.0000,0.0000,3
TITLE,0.0000,0.0000,0.0000,3
URL,1.0000,0.5000,0.9231,7
USERNAME,0.0000,0.0000,0.0000,0
WEIGHT,0.0000,1.0000,1.0000,2
WORK_OF_ART,0.0000,0.0000,0.0000,2
WORK_TITLE,0.0000,0.0000,0.0000,0
